Age,Color,Sex,Weight,Housemanners,LeftUnattended,EarCleaning,AttendsClasses,BehavesWellClass,AttendsHomeSwitches,Status
4,1,0,35,4,4,4,5,4,3,0
8,1,0,56,5,5,5,5,4,5,0
8,5,1,51,5,5,5,5,5,4,0
4,5,1,0,4,4,5,5,4,1,0
7,5,1,55,3,3,5,5,4,5,0
4,5,1,34,4,3,4,4,4,3,0
4,5,0,43,4,3,3,5,5,5,0
8,5,0,76,4,4,4,5,5,5,0
4,5,0,37,4,1,4,5,4,4,0
7,5,0,54.4,4,4,4,4,4,3,0
5,1,0,47,3,1,3,4,3,5,0
8,1,0,63.5,3,3,4,1,5,1,0
8,1,0,64,4,4,4,4,4,5,0
5,1,0,42,5,5,5,5,5,5,0
4,1,0,40,3,3,4,3,2,1,0
7,1,0,67,3,3,4,4,3,4,0
4,1,0,41,4,3,4,4,4,4,0
6,1,0,54,4,3,4,5,4,5,0
4,1,1,27,4,2,3,5,4,3,0
8,1,1,46,5,4,5,5,4,5,0
5,1,0,50,4,4,5,5,4,4,0
4,1,0,32,4,5,5,5,4,5,0
7,1,0,52,3,1,5,5,4,3,0
8,5,1,48,5,4,4,5,4,4,0
3,5,1,20,4,1,5,5,3,5,0
5,5,1,35,4,3,5,5,5,2,0
8,5,1,52,4,5,5,5,5,5,0
4,5,1,28.8,5,4,5,5,5,1,0
4,1,0,38,5,4,3,5,2,3,0
8,1,0,60,5,5,5,5,4,5,0
5,1,0,40,4,4,5,5,4,1,0
8,1,0,57,5,5,5,5,5,5,0
8,1,0,61,4,3,3,5,4,4,0
4,1,0,35,4,2,3,5,4,3,0
4,1,1,30,5,5,4,5,5,5,0
8,1,1,50,5,5,5,5,5,5,0
4,1,1,30,4,4,3,5,3,1,0
10,1,0,70,5,5,5,5,4,5,0
8,2,1,57,5,5,5,5,4,5,0
6,2,0,53,4,4,5,5,4,3,0
9,2,0,72,4,4,4,4,4,5,0
8,2,0,64,3,3,4,4,4,4,0
4,2,0,30,4,3,4,4,4,3,0
8,2,0,66,5,5,5,5,4,5,0
4,2,0,34,4,4,5,5,4,4,0
5,2,1,52,3,4,5,5,4,5,0
7,2,1,56,4,4,4,5,5,3,0
9,2,0,74,4,4,4,4,4,5,0
5,2,0,45,5,5,4,5,4,5,0
5,2,0,46,4,4,5,5,5,5,0
8,2,0,70,5,5,5,5,5,5,0
9,5,0,65,4,4,4,4,4,4,0
3,5,0,19,4,2,4,5,4,5,0
6,5,0,45,3,4,4,5,4,5,0
5,1,1,41,3,2,5,5,5,1,0
10,1,1,54,4,3,5,5,5,5,0
4,5,0,29,5,4,4,5,4,0,0
3,5,1,20,4,3,3,5,4,1,0
9,5,1,60,5,5,5,5,5,5,0
9,5,0,65,5,5,5,5,5,5,0
4,5,0,30,4,4,5,5,5,1,0
8,1,0,60,4,5,5,5,3,5,0
4,1,0,32.4,4,3,4,5,4,3,0
8,1,0,60,3,4,5,5,5,4,0
5,1,0,45,3,4,5,2,5,5,0
7,5,1,44,4,5,4,5,3,1,0
4,5,1,31,4,5,5,5,3,5,0
11,5,0,70,4,4,4,4,4,4,0
5,5,0,42,3,2,3,4,3,3,0
7,5,0,62.5,4,4,4,4,4,4,0
7,5,1,48,2,4,4,5,4,4,0
8,1,1,40,5,5,5,5,5,5,0
3,5,1,22.5,1,4,3,5,4,0,0
7,5,1,47,4,5,4,4,2,3,0
7,5,1,45.8,4,3,4,5,4,5,0
8,1,1,51,2,2,4,5,3,5,0
8,5,0,58,3,3,4,5,4,5,0
4,1,0,21.6,4,4,5,5,4,4,0
8,5,1,50,3,3,3,5,4,1,0
7,5,1,43,3,2,4,4,3,5,0
6,5,1,40,3,2,3,5,3,1,0
6,5,0,37.5,4,4,5,5,4,4,0
8,5,0,52.6,5,5,5,5,4,3,0
7,5,0,49,4,4,5,5,4,4,0
4,5,0,27,4,4,4,5,4,3,0
8,5,1,44,4,3,3,4,4,4,0
4,5,1,20,4,5,5,5,3,1,0
8,5,1,45,3,5,3,5,5,1,0
4,1,1,25,4,1,5,5,5,5,0
8,1,1,40,5,4,4,5,5,5,0
4,1,0,33,4,2,3,5,4,1,0
8,1,0,63,4,4,5,5,5,4,0
4,1,0,39,3,2,4,5,5,5,0
8,1,1,52,4,1,1,3,4,5,0
4,1,1,32,4,5,0,0,2,0,0
9,1,1,52,3,4,5,5,4,4,0
4,1,1,30.6,4,3,4,5,4,4,0
5,1,1,30.5,5,5,3,5,5,5,0
5,1,1,34,4,5,5,5,5,5,0
8,1,1,50,5,3,5,5,5,5,0
4,5,0,35,3,3,4,3,2,3,0
8,5,0,60,4,3,5,5,3,4,0
6,1,1,39,4,3,3,5,4,4,0
9,1,1,55,4,3,5,5,4,4,0
8,1,1,52,4,5,5,5,4,5,0
3,1,1,19.8,4,5,3,5,5,0,0
3,1,0,22,4,1,0,5,4,0,0
7,1,0,63,4,4,5,5,3,4,0
8,5,1,58,4,4,4,4,4,4,0
4,5,1,36,4,0,4,5,4,4,0
4,5,1,29,3,2,5,5,3,5,0
4,5,1,35,5,4,3,5,4,4,0
8,5,1,56,4,2,5,5,3,5,0
8,5,1,55,4,4,5,5,3,4,0
4,5,1,22,3,5,5,5,4,0,0
4,1,1,31.5,5,3,5,5,5,5,0
8,1,1,48,4,4,4,3,4,4,0
4,1,0,32,3,3,3,4,3,0,0
8,1,0,61,4,4,5,4,3,1,0
8,5,1,54,4,4,4,5,4,5,0
5,5,1,30.5,4,1,4,5,4,1,0
8,5,0,46,5,4,3,4,4,5,0
4,5,0,26,4,3,3,5,3,3,0
9,1,0,54,4,4,4,5,5,5,0
12,1,0,60,5,4,5,5,5,5,0
8,1,0,60,4,5,5,4,4,5,0
4,1,0,20,3,5,5,5,3,1,0
8,1,1,45,3,5,4,5,4,3,0
3,1,1,26,4,0,4,5,4,1,0
4,1,1,31,4,3,3,5,4,3,0
8,1,1,45,3,1,5,5,4,4,0
8,1,0,56,4,3,5,5,5,5,0
4,2,0,34,4,3,4,3,4,4,0
9,2,0,62,5,4,5,5,4,5,0
4,2,0,42,5,4,5,5,3,3,0
8,2,0,77,5,5,5,5,5,5,0
